City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
174,thompson,55.7435,-97.8558,-2.04,78,100,2.3,CA,1674767924
175,dourbali,11.8091,15.8632,79.11,12,35,8.97,TD,1674768072
176,hithadhoo,-0.6,73.0833,80.6,75,96,4.43,MV,1674768072
177,caravelas,-17.7125,-39.2481,79.09,79,97,7.56,BR,1674768073
178,sabang,5.8933,95.3214,78.44,80,99,4.27,ID,1674768073
179,bonanza,14.0289,-84.591,79.48,73,28,4.79,NI,1674768073
180,bogande,12.9714,-0.1436,83.73,11,0,8.72,BF,1674768074
181,hobyo,5.3505,48.5268,76.39,71,18,19.53,SO,1674768074
182,filadelfia,39.9523,-75.1638,46.42,54,75,18.41,US,1674768045
183,kangaba,11.9333,-8.4167,84.92,14,35,5.68,ML,1674768074
184,westport,41.1415,-73.3579,44.74,55,100,21.85,US,1674767846
185,hermanus,-34.4187,19.2345,62.8,76,5,5.57,ZA,1674768075
186,tiarei,-17.5333,-149.3333,77.02,80,9,20.51,PF,1674768075
187,port lincoln,-34.7333,135.8667,66.9,74,0,13.27,AU,1674767869
188,mar del plata,-38.0023,-57.5575,72.82,92,75,11.01,AR,1674768012
189,suntar,62.1444,117.6319,-40.52,100,100,2.3,RU,1674768076
190,nyurba,63.2842,118.3319,-54.85,100,82,2.8,RU,1674768076
191,san andres,12.5847,-81.7006,84.22,70,40,18.41,CO,1674768077
192,minjur,13.2667,80.2667,75.22,72,83,4.25,IN,1674768077
193,vanimo,-2.6741,141.3028,75.96,91,96,4.72,PG,1674768077
194,orsha,54.5153,30.4053,26.19,93,81,9.48,BY,1674768078
195,ola,59.5833,151.2833,5.43,64,100,14.18,RU,1674768078
196,launceston,-41.45,147.1667,60.44,73,40,1.14,AU,1674768079
197,bilma,18.6853,12.9164,77.49,11,17,6.38,NE,1674767805
198,tucuman,-26.8241,-65.2226,87.8,58,20,12.66,AR,1674767927
199,novorzhev,57.0294,29.3338,30.36,96,100,6.58,RU,1674768079
200,ahipara,-35.1667,173.1667,69.94,93,100,11.45,NZ,1674768080
201,ialibu,-6.2821,143.9935,57.43,96,100,3.0,PG,1674768080
202,guerrero negro,27.9769,-114.0611,68.59,22,98,7.11,MX,1674768080
203,los llanos de aridane,28.6585,-17.9182,60.55,69,75,14.0,ES,1674768081
204,rosarito,32.3333,-117.0333,70.23,25,0,29.62,MX,1674768081
205,bredasdorp,-34.5322,20.0403,65.08,71,1,2.53,ZA,1674767814
206,ushtobe,45.2514,77.9838,2.77,95,6,3.31,KZ,1674768082
207,burns lake,54.2331,-125.7533,33.22,100,100,2.75,CA,1674768082
208,aklavik,68.2191,-135.0107,-9.4,77,100,2.3,CA,1674768083
209,san policarpo,12.1791,125.5072,77.59,87,100,1.03,PH,1674768083
210,bundaberg,-24.85,152.35,76.21,95,100,1.01,AU,1674768085
211,kosonsoy,41.2561,71.5508,16.36,65,0,6.73,UZ,1674768085
212,axim,4.8699,-2.2405,80.22,85,30,9.04,GH,1674768086
213,riyadh,24.6877,46.7219,51.94,75,57,8.08,SA,1674767896
214,katsuura,35.1333,140.3,40.78,54,100,3.69,JP,1674768086
215,vestmanna,62.1564,-7.1664,43.72,87,100,14.97,FO,1674768087
216,parkes,-33.1333,148.1833,74.84,51,0,7.47,AU,1674768087
217,danshui,22.7984,114.4672,58.5,51,100,12.37,CN,1674768088
218,hasaki,35.7333,140.8333,35.22,54,100,7.7,JP,1674768088
219,tiznit,29.5833,-9.5,48.15,61,1,2.21,MA,1674768088
220,khaniotis,39.9991,23.58,45.57,84,100,9.4,GR,1674768089
221,puerto colombia,10.9878,-74.9547,84.29,72,100,23.87,CO,1674768010
222,aflao,6.116,1.1914,82.56,78,100,12.71,TG,1674768089
223,cilegon,-6.0174,106.0538,77.11,86,100,3.15,ID,1674768089
224,tuktoyaktuk,69.4541,-133.0374,-32.8,75,40,3.44,CA,1674768090
225,georgetown,5.4112,100.3354,78.73,91,20,1.14,MY,1674768090
226,okhotsk,59.3833,143.3,4.48,75,100,18.88,RU,1674768090
227,lamba,6.3597,124.8122,72.72,98,100,1.43,PH,1674768091
228,olinda,-8.0089,-34.8553,82.13,69,40,8.05,BR,1674768091
229,dingle,10.9995,122.6711,74.98,96,100,7.58,PH,1674768091
230,tabatinga,-4.2525,-69.9381,82.49,65,20,5.75,BR,1674768092
231,tezu,27.9167,96.1667,62.01,43,52,3.33,IN,1674768092
232,eregli,37.5133,34.0467,42.49,48,70,2.53,TR,1674768093
233,valleyview,55.0667,-117.2859,37.44,87,100,2.3,CA,1674768093
234,emborion,40.4833,21.55,32.36,100,100,0.92,GR,1674768093
235,tasiilaq,65.6145,-37.6368,28.56,96,100,6.51,GL,1674768093
236,severo-kurilsk,50.6789,156.125,29.79,94,100,2.08,RU,1674768094
237,mattru,7.6244,-11.8332,77.09,84,58,4.81,SL,1674768094
238,la rioja,42.25,-2.5,31.78,86,92,9.95,ES,1674768094
239,kajaani,64.2273,27.7285,19.45,93,75,5.75,FI,1674768095
240,shankargarh,25.1833,81.6167,60.6,90,54,5.53,IN,1674768095
241,svetlaya,46.5389,138.3297,-0.54,81,68,8.52,RU,1674768095
242,alofi,-19.0595,-169.9187,84.09,70,75,6.91,NU,1674768096
243,quesnel,52.9999,-122.5029,34.3,100,100,2.3,CA,1674767874
244,camrose,53.0168,-112.8353,36.93,85,98,21.83,CA,1674768096
245,kamra,33.7473,73.5111,40.95,58,0,8.88,PK,1674768096
246,labelle,26.7617,-81.4384,71.62,45,0,10.49,US,1674768097
247,saint-joseph,-21.3667,55.6167,77.38,86,100,1.36,RE,1674768097
248,dikson,73.5069,80.5464,1.26,85,100,17.16,RU,1674768097
249,visnes,59.3556,5.2242,35.65,80,8,8.05,NO,1674768097
250,haikou,20.0458,110.3417,64.53,77,75,15.66,CN,1674768098
251,mudon,16.2578,97.7164,67.89,79,0,2.46,MM,1674768098
252,mbamba,9.9833,13.1,79.52,14,4,3.94,NG,1674768098
253,druzhba,52.0428,33.9453,25.16,79,6,5.55,UA,1674768099
254,the valley,18.217,-63.0578,80.46,65,40,10.36,AI,1674768099
255,tinskoy,56.1525,96.9161,21.79,75,100,13.65,RU,1674768099
256,flinders,-34.5833,150.8552,72.18,86,99,5.99,AU,1674767898
257,bitung,1.4451,125.1824,76.05,89,100,5.48,ID,1674768100
258,yulara,-25.2406,130.9889,80.6,46,30,9.04,AU,1674768018
259,mortka,59.3322,66.0214,23.79,89,99,11.72,RU,1674768100
260,chapais,49.7834,-74.8492,8.38,91,100,10.71,CA,1674768100
261,mount isa,-20.7333,139.5,78.57,78,97,5.75,AU,1674768101
262,piacabucu,-10.4056,-36.4344,80.24,79,2,15.05,BR,1674768101
263,san vicente,-26.6167,-54.1333,89.76,32,53,3.53,AR,1674768101
264,jumla,29.2747,82.1838,37.13,31,0,6.04,NP,1674768102
265,walvis bay,-22.9575,14.5053,62.1,79,12,11.65,NA,1674768102
266,ilhabela,-23.7781,-45.3581,77.25,72,9,10.16,BR,1674768102
267,longyearbyen,78.2186,15.6401,6.64,66,20,11.5,SJ,1674768103
268,comal,29.8169,-98.3003,57.85,36,9,1.99,US,1674767865
269,nikolskoye,59.7035,30.7861,33.69,99,100,4.74,RU,1674768103
270,sitka,57.0531,-135.33,44.49,93,100,5.75,US,1674767960
271,pedasi,7.5333,-80.0333,89.06,72,100,13.49,PA,1674768103
272,port hardy,50.6996,-127.4199,51.98,82,75,10.36,CA,1674768104
273,traverse city,44.7631,-85.6206,30.27,78,100,8.05,US,1674767823
274,gerash,27.6652,54.1371,46.54,79,100,9.33,IR,1674768104
275,awjilah,29.1081,21.2869,59.09,59,1,9.44,LY,1674768105
276,gravdal,68.1214,13.5031,37.92,72,100,28.07,NO,1674768105
277,la orilla,17.9833,-102.2333,83.48,46,0,9.06,MX,1674768105
278,berdigestyakh,62.0989,126.6992,-59.03,100,71,2.06,RU,1674768105
279,grande prairie,55.1667,-118.8027,41.18,65,75,14.97,CA,1674767984
280,sundsvall,62.3913,17.3063,21.16,93,0,8.05,SE,1674768106
281,dargaville,-35.9333,173.8833,68.13,96,100,14.76,NZ,1674768106
282,chateau-thierry,49.05,3.4,39.36,88,92,10.29,FR,1674768106
283,glenwood springs,39.5505,-107.3248,28.06,40,46,5.39,US,1674768107
284,itarema,-2.9248,-39.9167,79.59,71,96,11.32,BR,1674768107
285,hare bay,48.8499,-54.0148,29.55,86,100,15.43,CA,1674768107
286,praia da vitoria,38.7333,-27.0667,58.75,82,75,14.36,PT,1674768108
287,salo,45.6086,10.531,42.51,81,77,1.7,IT,1674768108
288,laguna,38.421,-121.4238,64.09,56,0,5.75,US,1674768108
289,talcahuano,-36.7167,-73.1167,69.48,56,20,19.57,CL,1674767814
290,golub-dobrzyn,53.1109,19.0538,33.53,89,100,3.22,PL,1674768109
291,chuy,-33.6971,-53.4616,80.64,66,53,13.18,UY,1674768109
292,praya,14.9215,-23.5087,70.34,73,0,10.36,CV,1674768016
293,arras,50.293,2.7819,42.69,93,60,11.5,FR,1674768110
294,paamiut,61.994,-49.6678,18.0,67,100,2.3,GL,1674768110
295,pemangkat,1.1667,108.9667,76.95,88,100,5.17,ID,1674768110
296,wajima,37.4,136.9,33.62,90,100,9.66,JP,1674768111
297,ribeira grande,38.5167,-28.7,59.4,63,20,11.99,PT,1674768111
298,high level,58.5169,-117.136,14.11,85,100,9.22,CA,1674768111
299,oktyabrskiy,54.4815,53.471,23.36,90,100,11.79,RU,1674768112
300,fare,-16.7,-151.0167,81.37,76,10,17.74,PF,1674768112
301,gorgan,36.8387,54.4348,28.36,80,0,0.0,IR,1674768112
302,mason city,43.1536,-93.201,14.32,77,0,14.97,US,1674768113
303,venezuela,8.0,-66.0,93.49,25,8,15.43,VE,1674767833
304,rio claro,-22.4114,-47.5614,77.4,69,52,4.5,BR,1674768113
305,nuevo laredo,27.4763,-99.5164,59.27,29,0,9.22,MX,1674768114
306,klaksvik,62.2266,-6.589,45.52,88,100,27.85,FO,1674768114
307,saint-georges,12.0564,-61.7485,80.28,69,20,16.11,GD,1674768114
308,charters towers,-20.1,146.2667,75.47,85,54,8.43,AU,1674768115
309,waingapu,-9.6567,120.2641,78.48,86,100,6.55,ID,1674768115
310,naryan-mar,67.6713,53.087,23.86,91,100,17.98,RU,1674768115
311,mercedes,-34.6515,-59.4307,97.92,23,60,7.02,AR,1674768116
312,fairbanks,64.8378,-147.7164,9.09,83,100,5.75,US,1674767914
313,katangli,51.7102,143.2326,3.43,69,100,22.35,RU,1674768116
314,henties bay,-22.116,14.2845,64.38,83,9,9.44,NA,1674768116
315,kurchum,48.5722,83.6542,-12.73,94,17,1.57,KZ,1674768117
316,vila do maio,15.1333,-23.2167,70.59,78,61,13.11,CV,1674768117
317,kushima,31.4583,131.2333,43.43,93,100,8.95,JP,1674768117
318,bathsheba,13.2167,-59.5167,79.41,57,20,16.11,BB,1674768118
319,kashi,39.4547,75.9797,15.01,79,8,8.95,CN,1674768118
320,sonaguera,15.6333,-86.3333,82.6,54,14,6.44,HN,1674768118
321,huambo,-12.7761,15.7392,61.72,89,100,2.57,AO,1674767897
322,taree,-31.9,152.4667,71.98,98,99,2.84,AU,1674768119
323,arlit,18.7369,7.3853,75.49,12,18,8.77,NE,1674768119
324,dori,14.0354,-0.0345,83.26,12,1,8.84,BF,1674768119
325,ziarat,30.3823,67.7282,25.39,19,1,4.03,PK,1674768120
326,omboue,-1.5746,9.2618,77.97,85,100,6.13,GA,1674767871
327,fortuna,40.5982,-124.1573,66.92,45,0,1.99,US,1674768120
328,keetmanshoop,-26.5833,18.1333,86.29,30,23,10.89,NA,1674768120
